Family_ID;cdhit_meme;cdhit_streme;mmseq_meme;mmseq_streme
FAM_001;1;0;0;0
FAM_002;0;0;0;1
FAM_003;0;1;0;1
FAM_004;0;1;0;1
FAM_005;0;0;0;1
FAM_006;0;1;0;0
FAM_007;0;0;0;1
FAM_008;0;1;0;0
FAM_009;0;0;0;1
FAM_010;0;0;0;1
FAM_011;0;1;0;0
FAM_012;0;1;0;0
FAM_013;0;0;0;1
FAM_014;0;0;1;0
FAM_015;1;0;1;0
FAM_016;0;1;0;0
FAM_017;1;0;1;0
FAM_018;0;0;0;1
FAM_019;1;0;0;0
FAM_020;1;0;0;0
FAM_021;1;0;0;0
FAM_022;0;0;0;1
FAM_023;1;0;0;0
FAM_024;0;0;0;1
FAM_025;0;0;0;1
FAM_026;0;0;1;0
FAM_027;0;1;0;0
FAM_028;0;1;0;0
FAM_029;0;1;0;0
FAM_030;0;0;1;0
FAM_031;0;1;0;0
FAM_032;0;1;0;0
FAM_033;0;1;0;0
FAM_034;0;1;0;0
FAM_035;0;1;0;0
FAM_036;0;1;0;0
FAM_037;1;0;0;0
FAM_038;0;0;1;0
FAM_039;0;0;0;1
FAM_040;0;1;0;0
FAM_041;0;0;0;1
FAM_042;0;1;1;1
FAM_043;0;0;0;1
FAM_044;0;0;0;1
FAM_045;0;1;0;0
FAM_046;0;1;0;0
FAM_047;0;1;0;0
FAM_048;1;0;0;0
FAM_049;0;0;0;1
FAM_050;0;0;0;1
FAM_051;0;0;1;0
FAM_052;0;0;0;1
FAM_053;0;1;0;0
FAM_054;1;0;0;0
FAM_055;0;0;0;1
FAM_056;0;0;0;1
FAM_057;0;0;0;1
FAM_058;0;0;0;1
FAM_059;0;1;0;0
FAM_060;0;1;0;0
FAM_061;0;1;0;1
FAM_062;0;1;0;0
FAM_063;0;0;0;1
FAM_064;0;1;0;0
FAM_065;0;0;0;1
FAM_066;0;0;0;1
FAM_067;0;1;1;1
FAM_068;0;1;0;0
FAM_069;0;1;0;0
FAM_070;0;1;0;0
FAM_071;1;0;0;0
FAM_072;0;0;0;1
FAM_073;0;1;0;0
FAM_074;0;0;0;1
FAM_075;1;0;0;0
FAM_076;0;0;0;1
FAM_077;1;0;0;0
FAM_078;0;0;1;0
FAM_079;0;0;0;1
FAM_080;0;1;1;0
FAM_081;0;0;0;1
FAM_082;1;0;0;0
FAM_083;0;0;0;1
FAM_084;0;1;0;0
FAM_085;0;1;0;0
FAM_086;0;1;0;0
FAM_087;0;1;0;0
FAM_088;0;1;0;0
FAM_089;1;0;0;0
FAM_090;0;1;0;0
FAM_091;0;1;0;0
FAM_092;0;0;0;1
FAM_093;1;0;0;0
FAM_094;0;0;0;1
FAM_095;0;1;0;0
FAM_096;0;0;0;1
FAM_097;1;0;0;0
FAM_098;0;1;0;0
FAM_099;0;0;0;1
FAM_100;0;1;0;0
FAM_101;0;0;1;0
FAM_102;0;1;0;0
FAM_103;0;1;0;0
FAM_104;0;0;0;1
FAM_105;0;0;0;1
FAM_106;0;0;1;0
FAM_107;0;0;0;1
FAM_108;0;0;1;1
FAM_109;0;0;0;1
FAM_110;0;0;0;1
FAM_111;0;1;0;0
FAM_112;0;0;0;1
FAM_113;0;0;0;1
FAM_114;0;1;0;0
FAM_115;0;0;0;1
FAM_116;0;0;0;1
FAM_117;0;0;0;1
FAM_118;0;0;1;1
FAM_119;0;0;1;0
FAM_120;0;0;0;1
FAM_121;0;0;0;1
FAM_122;0;1;0;0
FAM_123;0;0;1;0
FAM_124;0;0;0;1
FAM_125;0;1;0;0
FAM_126;0;1;0;0
FAM_127;0;0;0;1
FAM_128;0;0;0;1
FAM_129;1;0;0;0
FAM_130;0;0;0;1
FAM_131;1;0;0;0
FAM_132;0;1;0;0
FAM_133;0;1;0;1
FAM_134;0;0;0;1
FAM_135;0;0;0;1
FAM_136;0;1;0;0
FAM_137;0;1;0;0
FAM_138;0;0;1;0
FAM_139;1;0;0;0
FAM_140;0;0;1;0
FAM_141;0;0;0;1
FAM_142;0;1;0;0
FAM_143;0;1;0;0
